,tweet,asal_tweet
166,@mohmahfudmd Jadi tenaga medis yang tidak gugur menangani Covid-19 diabaikan?,"Kota Malang, Jawa Timur"
167,Covid ngene sek kober konvoi a,"Batu, Malang"
168,Aku sumpek di rumah dengering teori konspirasi yang dipercaya orang tuaku sampe pingin kena covid beneran biar mereka percaya.,"Malang, Jawa Timur, Indonesia"
169,Nunggu info terpapar covid besok 😩,Malang
170,@radenmasdimas__ Kenek Covid-87 arema iku lur,"Kota Malang, Jawa Timur"
171,@andyylaww @squidwardfess berkah covid?,"Malang, Jawa Timur"
172,"pagi anteng dirumah, sore nongkrong ampe malem, balik tidur. gitu aja trs ampe baikan ama covid.","Malang, Jawa Timur"
173,"Covid is real
Covid is fucking real
Please take care yourself and your family",Sidoarjo-Malang
174,"Apakah Merokok dapat menyembuhkan COVID 19. Malah bahaya ges kuuu, kuy pelajari lebih dalam dengan baca post di atass!!!","Malang, Jawa Timur"
175,"[ 31 hari tantangan #SiapAdaptasi]

[Hoax Buster : Apakah Merokok dapat mencegah COVID 19??] https://t.co/WtnqfHEOcX","Malang, Jawa Timur"
176,sujud syukur bgt kalo vaksin covid-19 ditemuin secepat mungkin😭,"Malang, Jawa Timur"
177,"Rasane pingin tak amuki kabeh rumah sakit,  wkwkkw fokus covid kabeh yg lain juga udah sambatan. Maklum seng sakit bapak dewe jd emosi.",Malang
178,"@arnoldfelixx Ya beberapa pernah dengar langsung lix, apalagi sekarang kena covid semakin kerasa","Purwokerto Selatan, Indonesia"
179,"kapan covid iki mari ,pingin cepet kuliah koyok biasa e","Malang, Jawa Timur"
180,Kenapa berita tentang COVID-19 makin ke sini makin bikin cemas ya? 😰,"Malang, Indonesia"
181,"tiap ngumpul sama temen2, mereka selalu nanya kabar covid-19 ke aku aja. emang dikira aku nih satgas covid-19 wkwkw","Malang, Jawa Timur"
182,Napa gak dari dulu aja ya jualan. Sebelum ada resesi gegara covid 🤣,Praya
183,RUU ini dinilai penting untuk membantu investasi asing masuk di tengah pandemi Covid-19.,"Malang, Jawa Timur"
184,"Jadi masker kain yang dapat melindungi dari covid-19 adalah terdiri dari 3 lapis yaitu:
1. Inner layer
2. Middle layer
3. Outer layer","Kota Malang, Jawa Timur"
185,"Pemerintah berharap subsidi ini dapat menjaga daya beli dan kesejahteraan pekerja yang terdampak Covid-19,"" katanya.","Malang, Jawa Timur"
186,Subsidi langsung ini diyakini dapat membantu pekerja yang terdampak pandemi Covid-19.,"Malang, Jawa Timur"
187,"Selamat Hari Veteran Nasional

Sebelum Covid-19, Ini Sejarah Pandemi yang Pernah Melanda Indonesia https://t.co/NpwYUQhI7d","Malang, Jawa Timur"
188,"Salah satunya, tekanan psikologis yang dirasakan masyarakat karena takut terinfeksi covid-19, dikarenakan belum ada obat atau vaksin.","Malang, Jawa Timur"
189,"Bukannya makin jauh, covid malah makin deket, temen kantor sudah ada yang positif.
Paranoid strikes back.. 😷",Malang
190,"Karena Pandemi Covid-19, ku jadi punya waktu nonton BTS. Ya Rabb, mosok aku otw jadi army? 😭 #beraniberubah @liputan6dotcom @merdekadotcom",Malang - jawa timur
191,"Apa iya apapun penyakitnya, ketika pasien meninggal dan jenazah keluar dari rumah sakit keterangannya Positif COVID-19 ?","Malang, Jawa Timur"
192,@detikcom @detikHealth Dulu aku pernah sebelum covid cegukan berhari2.,Banyuwangi - Malang 
193,kemenkes kini sudah mengungkap bahwa jumlah kesembuhan pasien Covid-19 di Jatim sudah mencapai angka 16.732 orang. (Khofifah Gubernur Jatim), Malang
194,"@SerieA_Lawas yaallah kejadian nyata, semenjak milan juara liga covid, fansnya jadi congkak2 was &amp; angkuh😂😂😂","Malang, Jawa Timur"
195,@raksahcrigis ya memang kita harus banget berdampingan dengan covid ini:(,"Malang, Jawa Timur"
196,@erdytaa Kok tambah banyak bumil ya?sabtu ada sc yg covid juga kan infonya,"Malang, Indonesia"
197,"@tryadiadha Ndak macat. Biasa aja semenjak ada covid, menurutku","Kota Malang, Jawa Timur"
198,@ngalamfess hah mayat covid 19 dicium... freak bgt sih org2,"Malang, Jawa Timur"
199,knapa korban covid 19 smakin meningkat sedangkan rasamu padaku stuck disitu saja,"Malang, Jawa Timur"
200,"@xoxoheeee Gasido wes , covid 🙄",Malang - Indonesia
201,@sugiijr semoga di kota COVID lekas menurun,"Malang, Jawa Timur"
202,@mlsk3424 Covid. Sisturr..,"Malang, East Java"
203,@mojokdotco Didalam vaksin covid nanti memang akan disertakan chip Qualcomm Snapdragon 865+. Main PUBG jadi auto barbar 🤣,"Kota Malang, Jawa Timur"
204,"ribet bgt pada minta sekolah tatap muka tp kalo banyak yg covid protes juga?? yg aneh bukan cuma pemerintahnya sih, warganya sama aja.",louis❀
205,"@fabreza_mirzaf I mean, ya aq setuju covid itu ada.
Aq jg setuju kalau covid itu dibesar2kan.

Semacam itu lah. Panjang ceritanya.",Malang
206,"@fabreza_mirzaf Covid itu memang ada, dan konspirasi covid juga ada. Yang ku tau, hal ini terjadi di malang.",Malang
207,"Jenguk mantan abis covid, ngambek mulu 
#NationalGirlfriendDay #AkuYangSalah https://t.co/XetRLNVLoV","Kota Malang, Jawa Timur"
208,Apakah covid-19 #UniversitasPinterNgapusi #COVID19 #jodohditanganantono https://t.co/EWXvqq9Q2u,"Malang, Jawa Timur"
209,@onnes83 @infomalang @yusufgunawan mungkin bisa menghubungi call centre  covid 19 kota malang via wa +628113664119,Indonesia
210,"Kuy rek disini ada yang ngajukan kip terdampak covid gak? Lah itu gmn kalo liat pengumuman lolos gak nya 
Terimakasih",Malang - Jawa Timur
211,"@collegemenfess Mata kuliah baru disemester ini, pengganti 2 mata kuliah praktek grgr covid 🙃",Malang
212,@AhyasBudi Sepi gaonok mahasiswa ancen fak covid,"Malang, Indonesia."
213,"@lestarifitriaD Tolong cek ke puskesmas terdekat mbak, apakah ada indikasi"" terjangkit virus covid 19 ?","Malang, Jawa Timur"
214,@CNNIndonesia Sebelum covid pun ekonomi udah ancur ?? Emang skrg gak ancur ??,"Kota Malang, Jawa Timur"
215,"@tewe_ilakes @Senaputra_FM Di saat pasien Covid-19 terus meningkat, pokok intine tetap waspada &amp; ngeman awak e dewe.","Batu, Indonesia"
216,Ribete Ibar Jamane #COVID__19 https://t.co/1H1kL8fXkv,"Malang, Jawa Timur"
217,"[ 31 hari tantangan #SiapAdaptasi]

[Hoax Buster : Minyak Kayu Putih dapat Mengobati Covid-19?] https://t.co/IuUMIKqDVw","Malang, Jawa Timur"
218,@skipper_uwu Keanya semua mcd jam segini udh tutup deh selama covid ini :((,"Malang, Jawa Timur"
219,@mu_afi Semoga covid segera selesai fi.. Amin..,Malang
220,"@mukhalfian Sakit uyy, takut klo kena covid","Malang, Jawa Timur"
221,@PurpleDiminie mungkin karena covid gitu mungkin jadi resepsi baru sekarang,"Malang, Jawa Timur"
222,@AAranandita Lho disana ada aliran anti covid juga ra?,"Malang, Indonesia"
223,Missing my days before covid before iship...,
224,"@insideurbody @afrkml Aku di reply covid, tolong jangan dekati aku 🤭",Malang
225,Ini bolehlah kreatif dimusim Covid-19 namanya https://t.co/5aCIHQWSB2,"Malang, Jawa Timur"
