,tweet,asal_tweet
112,Makarara na in covid pramidf,pczc 💙 adzu
113,@KhofifahIP Gubernur Khofifah ruz mendukungg tracing yang masif thd pasien positif covid - 19 agar penularannya dpt ditekan,Ngawi
114,"@FarhanRabbaniA1 Congrats brother, dimana pun berada ingat beres Covid ada Krowbar menunggu.",
115,"yeah kita semua harus melindungi diri dari covid-19, makanya dirumah aja... 

- salam, changbin stray kids","#CODE: 

馬鹿 player who like to ciūm. GIBAHNATION's favorite hyung. The most handsome boy from GACRUX, Apopis and Ninety-nine. The tallest from schütz."
116,@Nunie_bc Entar lah kalau covid nya udh ngk ada 😄,"Nangro Aceh Darussalam, Indone"
117,"@daniellsinaga food court samping kos udah 2 malem bikin live music.
kemarin sampai jam 2 pagi.
ga ada takut-takutnya ama covid-19",Bintaro
118,@morgan_covid Follar!,
119,Sedih juga si org meninggal bukan krna covid tp mau dibuat2 biar kena covid hmmmmm,"Jepara, Jawa Tengah"
120,"Penyebab Floyd meninggal sbnrnya adl covid makannya dia bilang""I can't breathe"", really??
Kalo bener teh best plot twist 2020",Bandung
121,"elu juga gak suka ya sama covid? gua juga enggak, gua sukanya sama elu doang kok @Twitter","#CODE: 

馬鹿 player who like to ciūm. GIBAHNATION's favorite hyung. The most handsome boy from GACRUX, Apopis and Ninety-nine. The tallest from schütz."
122,@MudasirRomini @xdigeeembok @LisaAmartatara3 😄😄😄 mungkin lagi ancang² peluang bikin vksin covid 19 dia mah,
123,"@TrendPSPK Covid tho unna ayya...podukunivvu Swamy..
Bochu retweeeetttttttttt kottina 3acts backup pettukoni",
124,@callmenitski Kasus covid meroket cuu Balikpapan,
125,"@VIVAcoid Tebakan saya berikutnya yg menemukan obat covid adlah kemeninfo, kejaksaan agung atw kemen P.U..",
126,Overthinking-nya orang yg sering bengek kumat di masa covid.,Indonesia
127,Muspika Kecamatan Gebog gencarkan patroli bersama guna menekan angka penyebaran Covid 19. https://t.co/GOnKKxBGfS,
128,Covid-19 perlahan merusak mata akibat tak henti buka media elektronik -_-,
129,@jawapos ((Berhasil Ciptakan Obat Covid-19)),Galaxy Bima Sakti
130,@saifnasution @eddydaud Org kedah kena sokong Pejuang supaya covid pun kita pejuang kasi tanam elok2,"Kuala Lumpur, Malaysia"
131,"@theofficialadli ada haritu satu tweet ajar jadi tempat investment utk org yg hilang kerja time covid ni, lagi gempak misleading dia 😂",IIUM
132,@yuliyoux @kanaababys @fessthai Yuk mitap slesai covid 😂,
133,Jokes za kuwekwa kwa miriamu ni serious 😂😂 na hii covid,"Nairobi, Kenya"
134,"@U_y_o_k @DonAdam68 3 ibu bangsa centil yg sembuh oleh jamu dulu kmn ya skrg, hrsnya jd duta penyuluh covid 19 ..",
135,"Gara"" covid ga jd pengangguran si tp jd g bs maen jg",Indonesia
